date,weekday,worker,seq,ward,name,category,category_ko,address,phone,latitude,longitude,map_url,item_set,target_listings
2026-08-17,월,파일럿 (1명),1,Bảy Hiền,Cứu Hộ Xe Máy - Sửa Xe Lưu Động Quận Tân Phú Minh Thành Motor,accessory,튜닝·액세서리,76 Nguyễn Cửu Đàm,+84 399 859 679,10.7995817,106.6297063,"https://www.google.com/maps/search/?api=1&query=10.7995817,106.6297063",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),2,Bảy Hiền,Cửa Hàng Phụ Kiện Motor Bike,accessory,튜닝·액세서리,95 Nguyễn Ngọc Nhựt,+84 937 535 860,10.7920563,106.625208,"https://www.google.com/maps/search/?api=1&query=10.7920563,106.625208",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),3,Bảy Hiền,Cửa hàng Khôi Decal,accessory,튜닝·액세서리,157 Lê Trọng Tấn,+84 972 245 245,10.8061466,106.6273765,"https://www.google.com/maps/search/?api=1&query=10.8061466,106.6273765",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),4,Bảy Hiền,Dán Keo Xe - Đồ Chơi Xe Máy Phạm Tùng,accessory,튜닝·액세서리,324 Tân Kỳ Tân Quý,+84 343 630 345,10.8015546,106.6244101,"https://www.google.com/maps/search/?api=1&query=10.8015546,106.6244101",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),5,Bảy Hiền,Fastyre Bàu Cát,accessory,튜닝·액세서리,1 Bàu Cát 8,+84 902 716 594,10.7878885,106.6412341,"https://www.google.com/maps/search/?api=1&query=10.7878885,106.6412341",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),6,Bảy Hiền,Motor Phát Tài,accessory,튜닝·액세서리,53/5 Đ. Lũy Bán Bích,+84 927 900 900,10.7896435,106.6383648,"https://www.google.com/maps/search/?api=1&query=10.7896435,106.6383648",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),7,Bảy Hiền,Phú Tài Decal,accessory,튜닝·액세서리,49/4 Lê Liễu,+84 909 058 283,10.7986571,106.6221457,"https://www.google.com/maps/search/?api=1&query=10.7986571,106.6221457",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),8,Bảy Hiền,Phố Xe Điện quận Tân Phú,accessory,튜닝·액세서리,684 Đ. Lũy Bán Bích,+84 1800 9008,10.789845,106.6375425,"https://www.google.com/maps/search/?api=1&query=10.789845,106.6375425",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),9,Bảy Hiền,Phụ Kiện Việt Phương,accessory,튜닝·액세서리,26 Đường C12,+84 938 530 007,10.8068662,106.6379866,"https://www.google.com/maps/search/?api=1&query=10.8068662,106.6379866",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),10,Bảy Hiền,Phụ Tùng Xe Máy Tốc Độ,accessory,튜닝·액세서리,131 Đ. Gò Dầu,+84 916 780 628,10.7957444,106.6223914,"https://www.google.com/maps/search/?api=1&query=10.7957444,106.6223914",핸들바 · LED · 데칼 · 시트커버 중 2점,2
