name,category,address,latitude,longitude,phone,intro
Rửa Xe 170,wash, · 170 Điện Biên Phủ,10.7855065,106.6925293,,Bãi rửa xe ô tô / Ben Thanh
Rửa Xe Huy Hoàng,wash,150 Trần Phú,10.7605053,106.6768986,,Bãi rửa xe ô tô / Ben Thanh
hethongchamsocxe.com,wash,158 Hùng Vương,10.7616445,106.6751392,,Bãi rửa xe ô tô / Ben Thanh
Tiệm Rửa Xe K68,wash,7 Đ. Vĩnh Hội,10.7561315,106.7017288,,Bãi rửa xe ô tô / Ben Thanh
Rửa Xe Thanh Bình,wash,210 Nguyễn Trãi,10.7672983,106.6883697,,Bãi rửa xe ô tô / Ben Thanh
Tiệm Rửa Xe 39,wash,39 Rạch Bùng Binh,10.7812051,106.6799996,,Bãi rửa xe ô tô / Ben Thanh
Dịch Vụ Rửa Xe 109,wash,"Chung cư, 109 Cao Đạt",10.7546813,106.6839194,,Bãi rửa xe ô tô / Ben Thanh
Rửa xe Kỳ Hòa,wash,197 Cao Thắng,10.7747747,106.6726302,,Bãi rửa xe ô tô / Ben Thanh
Rửa xe bọt tuyết THU HƯƠNG,wash,32 Nam Quốc Cang,10.7682258,106.6872649,,Bãi rửa xe ô tô / Ben Thanh
Tiệm sửa xe máy gần đây nhất - làm bạc - làm nồi - TRUNG BẠC,wash,2 Đ. Huỳnh Mẫn Đạt,10.7528765,106.6773131,,Cửa hàng sửa chữa xe máy / Ben Thanh
Rửa Xe Không Chạm N9,wash,138 Trần Phú,10.7610216,106.6773707,,Bãi rửa xe ô tô / Ben Thanh
Rửa Xe Dũng Phuộc,wash, · 1 Đ. Vĩnh Hội,10.7561475,106.7025484,,Tiệm rửa xe hai bánh / Ben Thanh
Sửa Xe Phúc Hậu,wash,cư xá/E24 Đ. Vĩnh Hội,10.7608302,106.6979128,,Cửa hàng sửa chữa xe máy / Ben Thanh
Rửa xe chuyên nghiệp 310,wash,310 Điện Biên Phủ,10.7758641,106.6825317,,Bãi rửa xe ô tô / Ben Thanh
