name,category,subtype,listing_capable,address,latitude,longitude,phone,rating,reviews,status,flags
83 Lê Hoàng Phái Đồ Chơi Xe Máy,accessory,,Y,,10.840637,106.6752525,,5.0,1,,
"AT Decal - Dán Keo Xe - 192 Lê Quang Định, Phường 14, Bình Thạnh, TP Hồ Chí Minh",accessory,,Y,192 Lê Quang Định,10.807241,106.6964494,+84 965 909 446,4.9,55,,
"AZTOYS - Shop Đồ Chơi Gỗ Trí Tuệ, Thông Minh Cho Bé",accessory,,Y,"Hẻm 145 Đường 51, 55, Phường/17 Đ. Lê Đức Thọ",10.8361882,106.6827798,+84 901 335 131,5.0,1,,
Anh Biếu,accessory,,Y,77/28 Dương Tử Giang,10.7546534,106.6546098,+84 869 126 310,5.0,2,,
BB STORE Trần Đức Bội,accessory,,Y,Hẻm 15/70 Hòa Bình,10.7629377,106.6371428,,4.9,33,,
BBRACING,accessory,,Y,25/9 Hậu Giang,10.8072833,106.6631434,+84 919 999 968,4.9,27,,
BIKERCARE SHOP,accessory,,Y,216 - 218 Phó Cơ Điều,10.7612792,106.6571285,+84 938 690 496,4.5,123,,
Bi Race Shop,accessory,,Y,27 Đ. Thống Nhất,10.8314494,106.6636025,+84 387 505 747,4.5,66,,
Bravigo,accessory,,Y,45 Đ. Số 3,10.7394106,106.6986911,+84 816 888 228,4.9,10,,
Bán Mô Hình Tĩnh,accessory,,Y,356 Đ. Đỗ Thị Lời,10.785067,106.671783,+84 946 661 266,4.4,7,,
Bình Puma - Đồ chơi xe Nhật Bản,accessory,,Y,94 D. Trịnh Đình Thảo,10.773737,106.6375003,+84 767 696 481,4.8,14,,
BỐ GIÀ GIVI - Thùng Givi Baga Givi Chính Hãng Gò Vấp,accessory,,Y,95 Nguyễn Oanh,10.8317984,106.6767452,+84 964 066 066,4.5,52,,
CHILUX Quận 1,accessory,,Y,208 Cô Bắc,10.7637623,106.6933154,+84 346 665 775,4.5,61,,
Chí decal chi nhánh 2,accessory,,Y,382 Xô Viết Nghệ Tĩnh,10.8046549,106.7113271,+84 903 339 779,5.0,4,,
