name,category,subtype,listing_capable,address,latitude,longitude,phone,rating,reviews,status,flags,excluded_reason
GENWA AUTOWASH QUẬN 4 - RỬA XE TỰ ĐỘNG,wash,,N,48 Đ. Nguyễn Tất Thành,10.7660388,106.7065261,,,,,,자동차 업체
Công Ty TNHH Rửa Xe Hoàng Hà,wash,,N,76 Tôn Thất Thuyết,10.7538727,106.7131743,,,,,,제조/도매/법인
Máy Rửa Xe Cao Áp - Công Ty Sơn Tùng Lâm,wash,,N,82 Cù Lao,10.7967731,106.6878227,,,,,,제조/도매/법인
Công Ty Cổ Phần Vietwash,wash,,N,172 Hoa Lan,10.7979863,106.6881474,,,,,,제조/도매/법인
Rửa xe 24h CAR-E,wash,,N,11 Đ. Số 1,10.7849511,106.730294,,,,,,자동차 업체
Cty TNHH Bãi Xe 47 Bùi Đình Túy,wash,,N,Bùi Đình Tuý,10.8068915,106.7060845,,,,,,제조/도매/법인
RỬA XE CẦU NÂNG-THAY NHỚT HƯNG PHÁT 24h/7-CHĂM SÓC XE AUTO CAR,wash,,N,502/15 Đ. D4,10.7453017,106.6971199,,,,,,자동차 업체
Bãi giữ xe Công ty DV Công ích Quận 3,parking,,N,42 Tú Xương,10.7784796,106.6842396,,,,,,제조/도매/법인
"Công ty CP Bilparking - Bãi đỗ xe tự động, bãi đỗ xe thông minh",parking,,N,10A Nguyễn Thị Minh Khai,10.7882534,106.7028941,,,,,,제조/도매/법인
Bãi giữ xe - CHI NHÁNH CÔNG TY TNHH TMDV CÔNG ÍCH VĂN TRUNG,parking,,N,299 Cách Mạng Tháng Tám,10.7786288,106.6773219,,,,,,제조/도매/법인
Công Ty TNHH Giữ Xe Hoàng Sa Global,parking,,N,165 Nguyễn Duy Dương,10.761562,106.670633,,,,,,제조/도매/법인
"Giặt sấy Good laundry (giặt nhà hàng,ks,spa,cty)",laundry,,N,Đ. Thành Thái,10.7690483,106.6657443,,,,,,제조/도매/법인
Công Ty TNHH MTV Điện Thoại Di Động Hoàng Phát 360,phone_repair,,N,360 Trần Hưng Đạo,10.7566033,106.6848748,,,,,,제조/도매/법인
Cửa Hàng Linh Kiện Điện Thoại Giá Sỉ LINHKIENDOC,phone_repair,,N,149/15 Nguyễn Tri Phương,10.7553088,106.6690982,,,,,,제조/도매/법인
Phụ Tùng Ô Tô Haki - Chăm sóc nội thất - ngoại thất ô tô,parts,,Y,330/18/15 Âu Dương Lân,10.741221,106.6845746,+84 909 310 149,5.0,,,,자동차 업체
Phụ Tùng Ô Tô Phong Vũ,parts,,Y,861/72/18 Đ. Trần Xuân Soạn,10.7489395,106.696513,+84 846 653 838,5.0,37,,,자동차 업체
